TICKER,now,Portfolio Share,old,Portfolio Share
HOOD,"472,291,833",52.49%,"579,183,374",2.95%
USD in Ledger Prime,"200,000,000",22.23%,"200,000,000",1.02%
USDB,"73,001,646",8.11%,"73,223,641",0.37%
DAI,"28,491,686",3.17%,"28,464,601",0.14%
DOT,"28,384,450",3.15%,"32,522,098",0.17%
PAXG,"23,767,062",2.64%,"23,244,430",0.12%
JPY,"21,758,186",2.42%,"21,979,251",0.11%
TUSD,"15,991,381",1.78%,"16,034,265",0.08%
EURT,"12,117,879",1.35%,"11,847,808",0.06%
BRZ,"9,049,093",1.01%,"8,708,731",0.04%
BRL,"7,017,295",0.78%,"6,753,417",0.03%
WXRP,"6,987,896",0.78%,"9,298,681",0.05%
PAX,"1,000,714",0.11%,"1,002,277",0.01%
